miRNA Number_of_reads
hsa-mir-3135a-3p 4
hsa-mir-1304-5p 6120
hsa-mir-376c-3p 121
hsa-mir-4677-3p 686
hsa-mir-103a-2-3p 342480
hsa-let-7e-loop 25
hsa-mir-664a-3p 1685
hsa-mir-10396a-loop 29
hsa-mir-301b-5p 1878
hsa-let-7a-1-3p 6112
hsa-mir-539-3p 21
hsa-mir-3192-5p 42
hsa-let-7a-3-loop 272
hsa-mir-4326-5p 108
hsa-mir-375-3p 23737
hsa-mir-2276-5p 12
hsa-mir-4657-5p 4
hsa-mir-98-5p 209323
hsa-mir-1247-3p 104
hsa-mir-629-3p 1055
hsa-mir-5583-1-5p 4
hsa-mir-4645-3p 39
hsa-mir-451a-5p 34
hsa-mir-29b-1-5p 13899
hsa-mir-942-loop 14
hsa-mir-20b-5p 280
hsa-mir-4742-3p 157
hsa-mir-3620-loop 20
hsa-mir-6895-5p 30
hsa-mir-549a-5p 83
hsa-mir-4474-5p 3
hsa-mir-6731-3p 7
hsa-mir-302b-3p 1597
hsa-mir-99b-3p 14486
hsa-mir-4786-5p 40
hsa-mir-3657-5p 179
hsa-mir-3529-5p 1
hsa-mir-3657-3p 47
hsa-mir-4435-2-5p 121
hsa-mir-15b-loop 49
hsa-mir-6511b-1-5p 71
hsa-mir-6814-3p 9
hsa-mir-944-3p 27
hsa-mir-758-3p 17
hsa-mir-92a-1-3p 856531
hsa-mir-3622a-5p 111
hsa-mir-12136-5p 1607
hsa-mir-3659-5p 3
hsa-mir-3912-3p 208
hsa-mir-8086-3p 122
hsa-mir-609-5p 16
hsa-mir-3133-3p 741
hsa-mir-548aq-5p 241
hsa-mir-3136-3p 8
hsa-mir-4641-3p 8
hsa-mir-5001-3p 1195
hsa-mir-6805-3p 17
hsa-mir-6783-3p 118
hsa-mir-1343-loop 78
hsa-mir-1302-10-3p 6
hsa-mir-17-3p 5257
hsa-mir-23c-3p 16
hsa-mir-942-5p 6162
hsa-mir-548an-3p 24
hsa-mir-1278-5p 54
hsa-mir-374c-5p 16
hsa-mir-6877-5p 84
hsa-mir-549a-3p 151
hsa-mir-409-3p 220
hsa-mir-3127-5p 83
hsa-mir-194-1-5p 2459
hsa-mir-466-3p 9
hsa-mir-4423-3p 65
hsa-mir-4728-5p 13
hsa-mir-1285-2-3p 445
hsa-mir-3130-1-5p 97
hsa-mir-1305-5p 1
hsa-mir-9899-5p 7
hsa-mir-1307-5p 10356
hsa-mir-10396a-5p 3
hsa-mir-3181-5p 8
hsa-mir-548ba-3p 4
hsa-mir-12136-3p 343
hsa-mir-1297-3p 2
hsa-mir-548ac-5p 465
hsa-mir-1284-3p 2
hsa-mir-4747-3p 2
hsa-mir-4758-5p 1
hsa-mir-29a-3p 2521155
hsa-mir-195-3p 172
hsa-mir-548h-2-3p 139
hsa-mir-146b-5p 19494
hsa-mir-4520-1-3p 1
hsa-mir-4645-5p 6
hsa-mir-449a-5p 2277
hsa-mir-671-loop 21
hsa-mir-1913-5p 9
hsa-mir-3939-5p 22
hsa-mir-3199-2-loop 3
hsa-mir-92a-1-5p 4376
hsa-mir-6837-3p 26
hsa-mir-192-3p 24
hsa-mir-301b-3p 1166
hsa-mir-3682-3p 35
hsa-mir-3614-loop 77
hsa-mir-3659-3p 839
hsa-mir-662-loop 6
hsa-mir-548h-3-5p 2
hsa-mir-10a-3p 7216
hsa-mir-3934-5p 657
hsa-mir-34c-5p 141
hsa-mir-4755-3p 47
hsa-mir-3135b-5p 3
hsa-mir-588-5p 156
hsa-mir-4766-5p 21
hsa-mir-6793-5p 5
hsa-mir-505-3p 32433
hsa-mir-10527-5p 469
hsa-mir-641-5p 8522
hsa-mir-6779-3p 6
hsa-mir-6739-3p 22
hsa-mir-190a-5p 1734
hsa-mir-4452-3p 14
hsa-mir-1468-5p 535
hsa-mir-25-5p 7187
hsa-mir-3201-5p 1
hsa-mir-22-3p 54463
hsa-mir-4671-3p 112
hsa-mir-1910-3p 221
hsa-mir-6511a-2-3p 137
hsa-mir-30c-1-3p 726
hsa-mir-4496-3p 2
hsa-mir-548av-5p 2
hsa-mir-3180-3-3p 7
hsa-mir-4482-5p 1
hsa-mir-12132-3p 14
hsa-mir-338-3p 9
hsa-mir-885-3p 1
hsa-mir-6720-loop 1
hsa-mir-6729-3p 8
hsa-mir-153-2-3p 1129
hsa-mir-6826-5p 2
hsa-mir-5000-5p 5
hsa-mir-9-2-3p 54840
hsa-mir-6770-2-loop 1
hsa-mir-19b-1-loop 9
hsa-mir-28-5p 36159
hsa-mir-3689b-5p 1
hsa-mir-4458-5p 24
hsa-mir-6769b-3p 15
hsa-mir-200b-loop 179
hsa-mir-25-3p 527605
hsa-mir-7108-3p 10
hsa-mir-425-5p 428138
hsa-mir-6886-3p 41
hsa-mir-2113-3p 65
hsa-mir-10401-loop 15
hsa-mir-190a-3p 20
hsa-mir-335-5p 52428
hsa-mir-548j-5p 950
hsa-mir-4754-5p 6
hsa-mir-4449-loop 2
hsa-mir-138-1-loop 8
hsa-mir-424-3p 678
hsa-mir-6807-3p 27
hsa-mir-3132-5p 36
hsa-mir-5092-3p 32
hsa-mir-3620-3p 43
hsa-mir-409-5p 73
hsa-mir-6767-5p 6
hsa-mir-1244-3-loop 4
hsa-mir-1287-3p 91
hsa-mir-590-5p 961
hsa-mir-3913-1-3p 14
hsa-mir-598-5p 4
