id	filename	md5	size	state
03790da9-4111-4775-bc5f-f909d5be0525	8e5aedd4-ffe9-4457-9d83-ae15fd416947.mirbase21.isoforms.quantification.txt	4fd0648fb4dab36bea5f246d08400229	451110	validated
037b3457-6c4a-4073-9c93-00ca75a6b8ab	275d247a-f015-43c8-aff3-aebff9c36816.mirbase21.mirnas.quantification.txt	4ec7661c1ddcfe618fec124e6896a5c9	50321	validated
037bf7f1-1eee-46eb-b174-6002ca243a97	54e2adb3-c410-4870-a962-8105ade6fc8f.mirbase21.mirnas.quantification.txt	5c37b82a6ce23b3d955f81af3a4823c0	50357	validated
03990f2d-b9a1-41a6-bce7-8b367b4c40d2	ce8b6e6e-ca93-4309-a541-4fd22811148f.mirbase21.isoforms.quantification.txt	c83742db94d8664f559b2411f00bfc7e	319724	validated
039c1eae-f6dc-40ac-b135-34635551df60	1f08b5bc-b4f4-480a-908d-a455cc401c16.mirnaseq.mirnas.quantification.txt	a0d978687ce4eb2f9b48de29f2e0c5a7	50664	validated
03a25ea0-b8b6-4b4e-8848-291505cb544c	22e37f59-1f09-4a7e-98f7-e66a28516376.mirbase21.mirnas.quantification.txt	5bb58f37f659e1b94682a2704c3a9aa2	50185	validated
03a75e3e-a74f-41c4-942c-46c8459c49e6	c9220a80-3505-408e-a1cc-94cd4b67598c.mirnaseq.mirnas.quantification.txt	b2f0eda60526106387799d37c78f4ab2	50760	validated
03a93f19-ba03-481e-890a-b4dba8632335	d1aa22dd-ebc7-4181-830d-254885ecfe87.mirbase21.mirnas.quantification.txt	751d2a1370232e4898c98eb327a4ce2c	50191	validated
03b229c0-330b-4a77-863c-8563012a091c	c1dfd859-faa5-466d-baac-4755c3578bab.mirnaseq.mirnas.quantification.txt	06a07a11ef6b1fb03a28238148161366	50788	validated
03c23fb2-db40-4e9a-b049-91edff8fd28d	48ffd4c7-5d47-43e9-9014-9d21b6188f8c.mirnaseq.mirnas.quantification.txt	b55ba3aafd4e72af985e9a83b45ce03c	50655	validated
03c6c6f6-05bd-48a6-b765-f15b0839f3a6	a3c89195-e8f9-4d4c-a44d-68c5f530c798.mirbase21.isoforms.quantification.txt	9f45deb36e9e35a4e4833767610b8da4	333214	validated
03cc3724-1d3c-468e-b332-3fef8035f6e5	8bee9933-5a71-494f-b065-b9b2e5bb139f.mirbase21.isoforms.quantification.txt	ded820e1c5ccb88b34efcc041fd2853c	178273	validated
03db776b-6eef-4de9-9868-171543664f65	07a1428c-f519-4818-853f-a9a20dc111a8.mirbase21.isoforms.quantification.txt	ffe6dead5b5fcf1e3ca69bdd596420d9	411731	validated
03ea6b0f-f130-4a49-90a6-4351567c52a7	c4bc43fc-2626-4077-94d7-dacc9237e85b.mirbase21.isoforms.quantification.txt	3bf74eb68b34a86d51ec7cb38606e1ce	289349	validated
03f306f1-d934-474c-a024-6d279ce5f3a5	a6ed5321-11cc-45ae-b876-792fb25ead6f.mirnaseq.mirnas.quantification.txt	458f814da58d5aa80962be228ce1973c	50828	validated
03f3b34a-745b-4b2e-bacc-e550e587f155	c9f5cebc-3cdd-4ccb-8fd5-06499400a559.mirbase21.isoforms.quantification.txt	8f6ad772ae2479c48f692c44c081d745	484040	validated
03f9891b-e6c2-4ba8-b41e-098e6455e828	1f1da2fa-08ed-40fd-ba2f-50e993f7b27e.mirbase21.isoforms.quantification.txt	c11fdaa4add87d0333b45c6d293252f2	436062	validated
0414f6b7-8fa1-4b65-812c-01b706a6ef26	c6c11e00-c026-4644-a778-91ac84d4719e.mirbase21.isoforms.quantification.txt	1b70958342b48da0a3cca1cb7be64b9c	403485	validated
041b4e3d-daeb-43f3-9c35-be8db14f3263	f0865417-5457-4bd8-ad15-7ee903f09d1e.mirbase21.isoforms.quantification.txt	b7925467985af6daa263413751fb9963	424753	validated
04248626-f31f-4e3a-aebb-8dca37771ddb	f52852ac-43ed-477a-9967-96ac703638c5.mirbase21.mirnas.quantification.txt	b3be73398f7252aa629bd02d896fbf93	50537	validated
043a73a3-f63b-4243-8f21-ad1573dfaacf	8429d503-ac3c-42cf-bd93-9c1e6d37d996.mirbase21.isoforms.quantification.txt	18461dce61d5abebc6b266ce68a76ea2	269417	validated
044d10ab-1aab-43f7-9bef-49628403cce2	cbc27136-b4fc-4bd3-a0fe-2ee9718e9adb.mirbase21.isoforms.quantification.txt	35a43494da8bc5028fec884961c4d6c0	277951	validated
04552878-9155-4121-ad03-13201d6957f0	65e24a6a-0b7f-4686-a738-a8ae096c41b3.mirnaseq.mirnas.quantification.txt	90b754a4f6a4ee2a9b0b35147f4d1fb8	50797	validated
046b580f-005d-4d53-8e89-405f11e45c2f	96c0bc01-b013-432a-bb0d-d9f0bf31141b.mirnaseq.isoforms.quantification.txt	ce8fd7b993b80ab3e7446a882fb5d2e0	927503	validated
0473a4f9-ac4b-48d2-be21-de8caf9b88d3	2f641ebc-c5de-4793-8b8c-423a60ba7ff9.mirnaseq.mirnas.quantification.txt	70f055ab8fdf4a0381c0a8fcaac9e24d	50703	validated
04746ad2-379a-4f83-aa79-70500e50dbd0	62e66435-fd97-4fdb-952a-434e544fbaa0.mirbase21.isoforms.quantification.txt	1eef5e0517a38b52ccc6610aea2de041	430847	validated
0475d873-3d60-4278-8be8-e4ab6a2c2bcf	5e35b29e-ab79-4fd5-ac7a-8071af86f022.mirbase21.isoforms.quantification.txt	40be31a3e50b678736a7ef25e8e98e0b	388005	validated
0478ce68-b188-4543-8699-038c567c3e8e	ec758796-1248-4cf5-9788-99aea11834e9.mirbase21.isoforms.quantification.txt	db78be90d24f55c85f9169ce974fa1af	443554	validated
