miRNA Number_of_reads
hsa-mir-6765-5p 14
hsa-mir-580-3p 294
hsa-mir-135b-5p 200226
hsa-mir-3680-1-5p 82
hsa-mir-96-5p 180198
hsa-mir-1908-3p 157
hsa-mir-3689b-5p 3
hsa-mir-6509-5p 43
hsa-mir-1972-1-3p 2
hsa-mir-150-5p 44
hsa-mir-4677-3p 979
hsa-mir-663a-loop 186
hsa-mir-1972-2-5p 4
hsa-mir-6084-3p 11
hsa-mir-7156-3p 10
hsa-mir-4521-loop 60
hsa-mir-324-5p 11130
hsa-mir-1260b-5p 16073
hsa-mir-92b-loop 32
hsa-mir-7108-3p 20
hsa-mir-1250-5p 32
hsa-mir-1233-1-3p 19
hsa-mir-4497-5p 17
hsa-mir-548e-5p 92
hsa-mir-3164-3p 15
hsa-mir-10a-5p 1219954
hsa-mir-193b-5p 674
hsa-let-7a-2-loop 1999
hsa-mir-6862-1-5p 17
hsa-mir-3130-1-3p 97
hsa-mir-548al-3p 20
hsa-mir-1277-3p 366
hsa-mir-4804-3p 387
hsa-mir-7-1-5p 520222
hsa-mir-939-5p 110
hsa-mir-4755-3p 29
hsa-mir-6891-5p 5
hsa-mir-3654-3p 5
hsa-mir-4741-3p 100
hsa-mir-548ai-5p 38
hsa-mir-6511a-2-3p 169
hsa-mir-6805-3p 41
hsa-mir-200b-loop 94
hsa-let-7f-2-loop 313
hsa-mir-3672-5p 48
hsa-mir-145-3p 9062
hsa-mir-3176-5p 18
hsa-mir-3614-3p 123
hsa-mir-203b-5p 41
hsa-mir-214-3p 24
hsa-mir-21-3p 87536
hsa-mir-6859-2-5p 13
hsa-mir-339-5p 100628
hsa-mir-1278-5p 35
hsa-mir-96-3p 1326
hsa-mir-224-3p 437
hsa-let-7a-3-5p 659029
hsa-mir-1468-3p 7
hsa-mir-3137-3p 16
hsa-mir-1255a-5p 1453
hsa-mir-3679-5p 256
hsa-mir-4730-5p 2
hsa-mir-5696-5p 22
hsa-mir-615-loop 150
hsa-mir-204-3p 6
hsa-mir-107-5p 47
hsa-mir-34c-3p 16
hsa-mir-1302-10-3p 4
hsa-mir-6853-3p 19
hsa-mir-33a-5p 550
hsa-mir-6742-3p 42
hsa-mir-329-1-3p 79
hsa-mir-340-loop 19
hsa-mir-6766-5p 4
hsa-mir-6807-5p 55
hsa-mir-100-5p 5203561
hsa-mir-3605-loop 7
hsa-mir-616-3p 365
hsa-mir-3133-loop 13
hsa-mir-6090-3p 1
hsa-mir-98-3p 674
hsa-mir-485-3p 50
hsa-mir-1295a-5p 19
hsa-mir-660-5p 28934
hsa-mir-301a-loop 4
hsa-mir-1284-5p 177
hsa-mir-499b-3p 9
hsa-mir-4430-3p 9
hsa-mir-874-3p 185
hsa-mir-505-3p 42481
hsa-mir-92b-3p 233222
hsa-mir-548az-3p 25
hsa-mir-449c-5p 1978
hsa-mir-182-5p 2033510
hsa-mir-184-3p 231
hsa-mir-4738-3p 24
hsa-mir-4697-3p 142
hsa-mir-6790-5p 4
hsa-mir-320d-1-3p 463
hsa-mir-4652-3p 105
hsa-mir-6089-1-5p 4
hsa-mir-877-loop 1
hsa-mir-151b-3p 18197
hsa-mir-3911-loop 6
hsa-mir-23a-5p 2071
hsa-mir-1843-loop 89
hsa-mir-4731-3p 2
hsa-mir-4796-3p 363
hsa-mir-4742-3p 110
hsa-mir-4638-3p 19
hsa-mir-132-5p 2415
hsa-mir-130b-5p 64500
hsa-mir-17-3p 7393
hsa-mir-5684-5p 15
hsa-mir-141-loop 5823
hsa-mir-148b-5p 2694
hsa-mir-548a-1-5p 2
hsa-mir-548n-loop 5
hsa-mir-3943-5p 90
hsa-let-7c-loop 2
hsa-mir-1258-5p 99
hsa-mir-3145-5p 425
hsa-mir-5696-loop 1
hsa-mir-6859-3-5p 8
hsa-mir-6875-3p 92
hsa-mir-3199-2-3p 3
hsa-mir-17-5p 242214
hsa-mir-5189-5p 6
hsa-mir-6721-loop 3
hsa-mir-5585-5p 18
hsa-mir-4739-3p 42
hsa-mir-6784-3p 46
hsa-mir-183-5p 1786975
hsa-mir-6769b-3p 15
hsa-mir-101-2-3p 328220
hsa-mir-4444-1-5p 2
hsa-mir-607-3p 34
hsa-mir-3136-3p 9
hsa-mir-181d-3p 51
hsa-mir-22-5p 6869
hsa-mir-184-5p 3
hsa-mir-6850-3p 182
hsa-mir-5695-3p 12
hsa-mir-551b-3p 3
hsa-mir-7976-3p 154
hsa-mir-548l-3p 55
hsa-mir-6884-3p 23
hsa-mir-12136-5p 2674
hsa-mir-2276-5p 1
hsa-mir-4746-5p 604
hsa-mir-6886-5p 33
hsa-mir-125a-5p 434687
hsa-mir-6511a-2-5p 54
hsa-mir-653-3p 248
hsa-mir-513a-1-5p 14
hsa-mir-9-3-5p 136357
hsa-mir-659-3p 20
hsa-mir-4522-3p 17
hsa-mir-8086-loop 35
hsa-mir-629-loop 18
hsa-mir-6827-5p 5
hsa-mir-887-3p 22
hsa-mir-149-3p 214
hsa-mir-506-5p 9
hsa-mir-4473-loop 9
hsa-mir-7851-5p 712
hsa-mir-708-3p 125
hsa-mir-4787-loop 45
hsa-mir-6802-5p 29
hsa-mir-3134-3p 77
hsa-mir-642b-3p 5
hsa-mir-6128-3p 1
hsa-mir-663a-5p 96
hsa-mir-216a-5p 6
hsa-mir-148b-3p 221694
hsa-mir-6835-5p 6
hsa-mir-144-5p 54
hsa-mir-19a-3p 170044
hsa-mir-4768-5p 92
hsa-mir-6854-3p 9
hsa-mir-664b-5p 28
hsa-mir-1260a-5p 51
hsa-mir-135a-2-5p 30
hsa-mir-3158-1-3p 1512
hsa-mir-4435-1-3p 20
hsa-mir-6874-5p 35
